Time,Nodes,Symptomatic
21,19,27.1046
21,20,2.54852
21,21,16.1978
21,22,2.09058
21,23,13.7061
21,24,3.08366
21,25,4.08896
21,26,19.1757
21,27,7.24556
21,28,3.42578
21,29,7.05108
21,30,11.1964
21,31,14.9697
21,32,6.45354
21,33,20.5475
21,34,15.463
21,35,16.1804
21,36,12.3945
21,37,25.4248
21,38,18.5778
21,39,5.1924
21,40,22.4227
21,41,30.8719
21,42,16.0109
21,43,28.4899
21,44,10.9458
21,45,18.1752
21,46,13.6873
21,47,13.2557
22,1,12.0336
22,2,0.711706
22,3,15.1515
22,4,11.9986
22,5,11.5949
22,6,9.10534
22,7,5.64027
22,8,17.1112
22,9,8.2609
22,10,7.37332
22,11,17.1777
22,12,14.5909
22,13,3.70881
22,14,14.1525
22,15,5.08733
22,16,21.6616
22,17,23.5644
22,18,13.6197
22,19,23.3462
22,20,2.19514
22,21,13.9515
22,22,1.80069
22,23,11.8056
22,24,2.65614
22,25,3.52176
22,26,16.5158
22,27,6.24074
22,28,2.95073
22,29,6.07338
22,30,9.64389
22,31,12.8941
22,32,5.55874
22,33,17.6978
22,34,13.3189
22,35,13.9367
22,36,10.6758
22,37,21.8992
22,38,16.0017
22,39,4.47244
22,40,19.3137
22,41,26.5913
22,42,13.7908
22,43,24.5393
22,44,9.42794
22,45,15.6548
22,46,11.7894
22,47,11.4243
23,1,10.3827
23,2,0.614104
23,3,13.0732
23,4,10.3528
23,5,10.0043
23,6,7.85632
23,7,4.86658
23,8,14.7634
23,9,7.12772
23,10,6.36164
23,11,14.8206
23,12,12.5894
23,13,3.20004
23,14,12.2113
23,15,4.38945
23,16,18.69
23,17,20.3317
23,18,11.7515
23,19,20.1436
23,20,1.89402
23,21,12.0374
23,22,1.55367
23,23,10.1861
23,24,2.29185
23,25,3.03843
23,26,14.2493
23,27,5.38451
23,28,2.54594
23,29,5.24026
23,30,8.321
23,31,11.1254
23,32,4.79626
23,33,15.2695
23,34,11.4919
23,35,12.0249
23,36,9.21117
23,37,18.8949
23,38,13.8065
23,39,3.85895
23,40,16.6644
23,41,22.9436
23,42,11.8989
23,43,21.1729
23,44,8.13451
23,45,13.5071
23,46,10.1721
23,47,9.86379
24,1,8.97595
24,2,0.530936
24,3,11.3022
24,4,8.95035
24,5,8.64892
24,6,6.79201
24,7,4.20731
24,8,12.7628
24,9,6.16211
24,10,5.49957
24,11,12.812
24,12,10.8838
24,13,2.76651
24,14,10.5571
24,15,3.79478
24,16,16.1579
24,17,17.577
24,18,10.1596
24,19,17.4146
24,20,1.63742
24,21,10.4064
24,22,1.34319
24,23,8.80613
24,24,1.98143
24,25,2.62656
24,26,12.3179
24,27,4.6549
24,28,2.20101
24,29,4.53035
24,30,7.19374
24,31,9.61819
24,32,4.14653
24,33,13.2002
24,34,9.93503
24,35,10.3957
24,36,7.96317
24,37,16.3349
24,38,11.9359
24,39,3.33619
24,40,14.407
24,41,19.8354
24,42,10.2869
24,43,18.3044
24,44,7.03236
24,45,11.6769
24,46,8.79406
24,47,8.53404
25,1,7.7772
25,2,0.460066
25,3,9.79306
25,4,7.7553
25,5,7.49398
25,6,5.88509
25,7,3.64553
25,8,11.0581
25,9,5.3393
25,10,4.76498
25,11,11.1004
25,12,9.43054
25,13,2.39709
25,14,9.14751
25,15,3.28804
25,16,14.0002
25,17,15.2297
25,18,8.80305
25,19,15.0892
25,20,1.41877
25,21,9.01651
25,22,1.16383
25,23,7.63023
25,24,1.71691
25,25,2.27561
25,26,10.6721
25,27,4.03318
25,28,1.90708
25,29,3.92541
25,30,6.23318
25,31,8.33391
25,32,3.59289
25,33,11.437
25,34,8.60842
25,35,9.00749
25,36,6.89972
25,37,14.1535
25,38,10.342
25,39,2.89073
25,40,12.4833
25,41,17.1869
25,42,8.9132
25,43,15.86
25,44,6.09319
25,45,10.1175
25,46,7.61978
25,47,7.40092
26,1,6.75571
26,2,0.399676
26,3,8.50711
26,4,6.73697
26,5,6.50983
26,6,5.11227
26,7,3.16683
26,8,9.60537
26,9,4.63816
26,10,4.13901
26,11,9.64195
26,12,8.19214
26,13,2.08229
26,14,7.9464
26,15,2.85624
26,16,12.1616
26,17,13.2296
26,18,7.64714
26,19,13.1076
26,20,1.23245
26,21,7.83218
26,22,1.01099
26,23,6.62821
26,24,1.49151
26,25,1.97654
26,26,9.2697
26,27,3.50339
26,28,1.65662
26,29,3.40994
26,30,5.41466
26,31,7.23955
26,32,3.12112
26,33,9.93443
26,34,7.47798
26,35,7.82454
26,36,5.99352
26,37,12.2947
26,38,8.98374
26,39,2.51115
26,40,10.8442
26,41,14.93
26,42,7.74266
26,43,13.7771
26,44,5.29289
26,45,8.78858
26,46,6.61914
26,47,6.43537
27,1,5.88528
27,2,0.348215
27,3,7.41132
27,4,5.86923
27,5,5.67122
27,6,4.45374
27,7,2.75891
27,8,8.36748
27,9,4.0407
27,10,3.6056
27,11,8.39911
27,12,7.13687
27,13,1.81404
27,14,6.9229
27,15,2.48829
27,16,10.5949
27,17,11.5251
27,18,6.66216
27,19,11.4191
27,20,1.07368
27,21,6.82297
27,22,0.88075
27,23,5.77437
27,24,1.29945
27,25,1.72169
27,26,8.07462
27,27,3.05194
27,28,1.44319
27,29,2.97068
27,30,4.71719
27,31,6.30701
27,32,2.71912
27,33,8.65407
27,34,6.5147
27,35,6.81652
27,36,5.22133
27,37,10.7107
27,38,7.82635
27,39,2.18769
27,40,9.44741
27,41,13.0068
27,42,6.74522
27,43,12.0022
27,44,4.61094
27,45,7.65621
27,46,5.76647
27,47,5.6126
28,1,5.14355
28,2,0.304363
28,3,6.47757
28,4,5.12981
28,5,4.95661
28,6,3.89258
28,7,2.41131
28,8,7.31263
28,9,3.53159
28,10,3.15106
28,11,7.34004
28,12,6.23765
28,13,1.58546
28,14,6.05076
28,15,2.17475
28,16,9.25985
28,17,10.0727
28,18,5.82283
28,19,9.98028
28,20,0.938392
28,21,5.96299
28,22,0.769772
28,23,5.04679
28,24,1.13578
28,25,1.50452
28,26,7.05624
28,27,2.66725
28,28,1.26133
28,29,2.59638
28,30,4.12285
28,31,5.51237
28,32,2.37656
28,33,7.56302
28,34,5.69387
28,35,5.95755
28,36,4.56331
28,37,9.36095
28,38,6.84009
28,39,1.91207
28,40,8.25718
28,41,11.368
28,42,5.89526
28,43,10.4898
28,44,4.02982
28,45,6.69127
28,46,5.03989
28,47,4.9115
29,1,4.51149
29,2,0.266995
29,3,5.6819
29,4,4.49972
29,5,4.34767
29,6,3.4144
29,7,2.11512
29,8,6.41374
29,9,3.09775
29,10,2.76373
29,11,6.43755
29,12,5.47139
29,13,1.39067
29,14,5.30757
29,15,1.90757
29,16,8.12221
29,17,8.83512
29,18,5.10761
29,19,8.7542
29,20,0.823104
29,21,5.23017
29,22,0.675203
29,23,4.42679
29,24,0.996319
29,25,1.31946
29,26,6.18841
29,27,2.33943
29,28,1.10636
29,29,2.27743
29,30,3.61639
29,31,4.83523
